喘息,无
咳嗽,无
皮肤瘙痒,无
肚子疼,无
全身过敏反应,无
下腹胀痛,无
输尿管梗阻,无
尿痛,无
腰部包块,无
淋巴结肿大,无
下腹部包块,无
下腹部钝痛和酸胀感,无
乏力,无
咳血,无
体重减轻,无
蚊虫刺咬炎症,无
关节肿痛,无
斑丘疹,无
水肿,无
皮肤搔痒,无
肾气虚,无
肝火,无
痰火郁结,无
脾胃虚弱,无
异位性心动过速,无
心动过速,无
剧痛,无
烧伤创面淡黄色粘稠分泌物,无
烧伤创面甜腥气味的粘稠分泌物,无
烧伤后恶心与呕吐,无
烧伤后脉搏增速,无
多尿,无
脓尿,无
肾小管重吸收障碍,无
多饮,无
尿糖,无
日轻夜重的瘙痒,无
瘙痒,无
大腿内侧红斑,无
腹股沟痒,无
拇、食、中三指有放射痛,无
腕部疼痛,无
手腕在大拇指侧的疼痛,无
肌肉萎缩,无
食指和中指僵硬痛麻,无
胀痛,无
呕恶纳呆,无
嗳气,无
便下恶臭,无
舌苔厚腻,无
手部功能完全丧失,无
血管伤,无
关节痛,无
脓性分泌物,无
充血,无
白细胞增多,无
脓肿,无
吞咽困难,无
收缩期杂音,无
抽搐,无
腹部血管杂音,无
蛋白尿,无
头晕,无
创伤,无
尿外渗,无
腹部不适,无
高热,无
疼痛,无
儿茶酚胺分泌过量,无
心脏扩大,无
皮肤苍白,无
功能性震颤,无
恶心,无
死精子过多,无
耳鸣,无
精子稀少,无
精液稀,无
驼背,无
代偿性腰椎前凸,无
轻瘫,无
溃疡,无
结痂,无
乳房肿块,无
普秃,无
毛发色淡而呈棕色,无
病理性脱发,无
毛发脱落,无
毛发异常,无
腰大肌阴影消失,无
发烧,无
体型异常,无
口角生疮,无
点状痤疮,无
丘疹性痤疮,无
萎缩性痤疮,无
腰骶部或下腰部疼痛,无
慢性肾功能不全,无
孤立肾,无
血压高,无
视力障碍,无
筋膜疼痛,无
肌肉酸痛,无
浅筋膜炎,无
关节挛缩,无
低烧,无
上肢外展上举困难,无
青枝骨折,无
瘀血,无
胁部肿胀,无
压痛,无
看东西有重影,无
视物模糊,无
眼疲劳,无
头痛,无
头昏,无
肝转移,无
烦躁不安,无
腹部肿块,无
气血失和,无
肝脾肿大,无
斑疹,无
关节疼痛,无
浮脉,无
虚脉,无
脾气虚,无
胎儿水肿,无
纸样胎儿,无
双胎静脉吻合,无
智力减低,无
记忆力障碍,无
定向力障碍,无
智力发育迟缓,无
轻度精神发育迟滞,无
黏液性水肿,无
食管对称性膨大,无
恶性贫血,无
烂嘴角,无
唇干裂,无
毛细血管扩张,无
痛性红舌,无
血小板减少,无
皮肤潮红肿胀,无
被害妄想,无
疲劳,无
忧郁,无
痴笑,无
闪回,无
嗜睡,无
四肢发冷,无
心动过缓,无
尿急,无
视野缺损,无
视网膜脱离,无
眼前异常闪光，增加的黑点,无
视物变小,无
眼痛,无
结节,无
食欲不振,无
丘疹,无
脾虚,无
气血凝滞,无
反胃,无
胸骨后疼痛,无
紧张,无
声调似小孩,无
糖类皮质激素分泌过少,无
抑郁,无
无胡须,无
尿频,无
肾盏变钝,无
肢体运动不协调,无
肢体忽冷忽热，时红时白,无
肢体变细变短,无
舞蹈样不自主运动,无
四肢瘫痪,无
消化不良,无
皮疹,无
恶心与呕吐,无
小脑性共济失调,无
人格改变,无
复视,无
紫癜,无
鳞屑,无
脓包,无
伤口愈合发痒,无
烧伤创面焦痂提前潮解、脱落或出现虫咬样变化,无
鼻泪管阻塞,无
骨质破坏,无
鼻衄,无
牙疼,无
流泪,无
手麻,无
残株型骨折,无
压缩型骨折,无
头皮屑多,无
步态不稳,无
感觉障碍,无
骨痹,无
麻痹,无
水湿不化,无
食管出血,无
食管反流症状,无
食管梗阻,无
吞咽痛,无
腹胀嗳腐,无
乳食不化,无
营养障碍,无
生长缓慢,无
肌腱断裂,无
指间关节不能屈曲,无
肌腱端炎,无
肌腱粘连,无
肌肉砸伤,无
皮下囊肿,无
脑脊液鼻漏,无
囊肿,无
鼻塞,无
紧张性头晕,无
间歇性头晕,无
目赤,无
肠鸣,无
腹胀,无
嗳腐,无
手臂肌肉拉伤,无
拇食指捏物功能障碍,无
手腕长骨刺,无
肌肉拉伤,无
咽痛,无
咽部有异物感,无
镜面舌,无
呼吸困难,无
发音障碍,无
口唇常无力而不能鼓气,无
舌肌萎缩,无
上尿路结构和功能损害,无
逼尿肌反射亢进,无
排尿不畅,无
无尿,无
呕吐苦水,无
电脑失写症,无
手部震颤,无
肌张力过高,无
气喘,无
腹痛伴腹泻,无
肝肿大,无
胃肠道出血,无
紫绀,无
寒战,无
尿崩,无
低氧血症,无
松果体区占位病变,无
动眼神经麻痹,无
对光反射迟钝,无
共济失调,无
松果体钙化移位,无
胃脘饱胀,无
粘膜有粘着性白斑,无
持续性发热,无
干咳,无
怕冷,无
情绪性疲劳,无
神志不清,无
神志淡漠,无
气管受压,无
气管移位,无
便血,无
消瘦,无
眶周青紫,无
舌运动受限,无
环咽部运动障碍,无
舌骨区有肿胀压痛,无
舌痛,无
水泡,无
水痘结痂,无
疱疹,无
四肢畸形,无
面容憔悴早老,无
呼吸异常,无
呼吸衰竭,无
女性不孕,无
输卵管堵塞,无
阴道分泌物增多,无
继发性不孕,无
囊肿性痤疮,无
疥疮结节,无
痤疮样皮疹,无
声音嘶哑,无
咽痛声哑,无
注意力不集中,无
颅内压增高,无
肾上腺转移,无
向心性肥胖,无
皮质醇增多,无
颌突畸形,无
下颌前突,无
牙齿异常,无
张嘴颌骨响,无
手表皮深处的水疱,无
红晕,无
脓疱,无
手上有小水泡,无
肌肉痉挛性疼痛,无
肢体僵硬感,无
肢体不自主震颤,无
震颤性肌强直，运动徐缓,无
肌肉颤动,无
食物误入气道,无
震水音,无
胸痛,无
踝部凹陷性水肿,无
胫前和足部坚硬的非凹陷性水肿斑块,无
胫前指压性水肿,无
肢体的非凹性水肿,无
输尿管痉挛,无
癌性输尿管狭窄,无
肾盂积水,无
角膜混浊,无
少尿,无
肾部积水现象,无
腹水,无
阴道出血,无
卵巢性闭经,无
子宫性闭经,无
浑身酸痛,无
周身不适,无
大便溏泄,无
舌苔黄,无
手、足部厚壁水疱,无
进食困难,无
神疲乏力,无
皮肤皲裂,无
发炎,无
右上腹痛,无
耳下区的韧实肿块,无
腮腺区肿大,无
腮腺无痛性肿块,无
流涎,无
下肢红斑结节,无
脓苔,无
颈静脉怒张,无
剧烈疼痛,无
脉压增宽,无
水冲脉,无
左心室肥厚,无
上腹部疼痛,无
腰部钝痛,无
血尿伴蛋白尿,无
苔黄腻,无
四肢无力,无
皮肤发黄,无
烦热,无
四肢酸痛无力,无
隐痛,无
腹部压痛,无
腹肌紧张,无
内出血,无
十二指肠狭窄,无
意识改变状态,无
反复抽搐,无
昏迷,无
皮下结节,无
进行性颈部肿块,无
恶病质,无
脱皮,无
食管腔梗阻,无
输卵管粘连,无
下腹痛,无
感觉过敏,无
四肢麻木,无
男性小腹坠痛,无
新生儿蛋白尿,无
局限性肾坏死,无
头目晕沉,无
胸闷,无
腹肌强直,无
瘀斑,无
玫瑰疹,无
指节增粗,无
小腹冷痛,无
孕中期腹痛,无
咽部异物感,无
咽颊部烧伤,无
梗噎,无
吞咽障碍,无
输尿管间脊肥大,无
输尿管囊肿,无
尿酸代谢亢进,无
昏睡,无
血压下降,无
甲状旁腺功能亢进,无
继发感染,无
压力和体位性多汗,无
出汗异常,无
面、颈部味觉性多汗,无
遗精,无
射精疼,无
器质性早泄,无
精液少,无
肾前性肾功能不全,无
发绀,无
弯腰时腰痛,无
肾区压痛,无
肾区叩击痛,无
钙沉积,无
夜盲,无
中心暗点扩大,无
病理性近视,无
口及咽部烧灼感,无
上腹不适,无
食管间隙形成肿块,无
淋巴结结核,无
复杂性尿路感染,无
手指末端持续对称性刺痛麻木,无
盲点,无
偏盲,无
视野缩小,无
肩胛放射性疼痛,无
食管黏膜呈管型剥脱,无
红色盲,无
蓝黄色弱,无
色觉异常,无
绿色弱,无
蓝黄色盲,无
无力,无
钝痛,无
下肢弥漫性水肿,无
舒张期奔马律,无
逸搏出现,无
劳力性呼吸困难,无
硬腭呈半圆形隆起,无
泪溢,无
带血粘脓鼻涕,无
面部麻木,无
肩痛,无
非感染性发热,无
多形红斑样皮疹,无
剥脱性皮炎,无
上腹部肿块及腹胀,无
噎痛感,无
颜面潮红,无
荨麻疹样皮疹,无
肾动脉硬化,无
食管腔狭窄,无
低蛋白血症,无
肝功能异常,无
盗汗,无
爪状趾,无
脾肾阳虚,无
皮肤含铁血黄素沉着,无
胎痣,无
血管痣,无
流感样症状,无
肌肉纤维震颤,无
唾液分泌增多,无
复杂性醉酒,无
喝酒后胃疼,无
喝酒后呕吐,无
低位腰痛,无
心音低钝,无
缓脉,无
黑蒙,无
瞳孔出现黄白色反光,无
眼压升高,无
消耗性体重下降,无
稽留热,无
不规则热,无
肠出血,无
反应迟钝,无
下腹疼痛,无
肾动脉阻塞,无
管型尿,无
肾小球滤过率下降,无
空间感知障碍,无
幻觉,无
视觉失认,无
恶寒,无
痰湿体质,无
烦渴饮冷,无
额上汗出,无
湿热内蕴,无
意识丧失,无
性交困难,无
白色恶露,无
皮肤肥厚,无
输尿管扩张,无
睑结膜沙粒外观,无
结膜充血,无
睑结膜的巨大乳头,无
眼皮下垂,无
小便短赤,无
疲乏,无
四边孔处的局限压痛,无
肾损害,无
冻结肩,无
肌腱囊肿,无
臂丛神经受累,无
肺部感染,无
脊髓压迫,无
妊娠斑,无
日晒斑,无
黑斑,无
皮肤痛,无
持续性疼痛,无
黏膜损害,无
轻度痛,无
眼球运动障碍,无
鼻溢液,无
排尿障碍,无
男子性功能障碍,无
眼睑下垂,无
眼睑松弛,无
上眼睑增厚松弛,无
剥夺性弱视,无
霍纳综合征,无
努嘴伸舌,无
知觉消失,无
伤寒面容,无
中枢性发热,无
手脱皮,无
皮肤干燥,无
肾上腺中毒,无
进行性消瘦,无
细胞色素C氧化酶缺乏症,无
食管下括约肌张力下降,无
念珠菌感染,无
过早衰老,无
腰膝酸软,无
健忘,无
下腰部疼痛,无
血浆胆固醇水平高,无
全身持续性水肿,无
高血脂性血管损害,无
卧床不起,无
构音障碍,无
面神经瘫痪,无
胃灼热,无
全血细胞减少,无
蠕动感,无
风团,无
光反射消失,无
眼底出血和渗出,无
角弓反张,无
苦笑面容,无
惊厥,无
口咽异物,无
口唇周围有炎性鳞状皮肤,无
口唇严重充血呈红色,无
色素性皮损,无
呛咳,无
钟摆征,无
咬伤愈合的伤口出现痛痒或麻木,无
晕厥预兆,无
劳力性晕厥,无
单纯性晕厥,无
感染诱发昏迷,无
中度昏迷,无
深昏迷,无
面色苍白,无
咽喉炎,无
肠壅积,无
畏光及流泪,无
眼球垂直运动障碍,无
眼肌麻痹,无
两眼上视障碍,无
癫痫和癫痫样发作,无
血管杂音,无
颈椎关节的根性疼痛,无
神经根刺激,无
脊神经根受损,无
颈部疼痛,无
脉压小,无
微炎症状态,无
糖代谢紊乱,无
高同型半胱氨酸血症,无
尿蛋白,无
颤抖,无
糖尿,无
抽风,无
肌肉挛缩,无
手的歪扭畸形,无
单侧及假性手足徐动,无
不自主运动,无
新生儿手足徐动,无
喉咙痛,无
喉部刺痛,无
咽喉疼痛,无
出生后“四凹征”,无
喉部有痰,无
端坐呼吸,无
下肢浮肿,无
恐惧,无
精神变态,无
精神创伤,无
发作时精神障碍,无
中度精神发育迟滞,无
早晨上下眼睑粘连,无
眼球压痛,无
继发性视神经萎缩,无
视野向心性缩小,无
舌乳头增生,无
舌体肥大,无
睡眠呼吸暂停,无
睡眠节律紊乱,无
打呼噜,无
动脉粥样硬化,无
体内水钠潴留,无
弥漫性下腰痛,无
肛门病变,无
食管溃疡,无
阴部溃疡,无
肾脓肿,无
关节肿胀,无
关节肿大,无
关节积液,无
食管痉挛,无
扁桃体充血肥大,无
扁桃体肥大,无
扁桃体发炎,无
扁桃体上有灰色膜,无
扁桃体充血,无
单眼突然出现一过性黑蒙,无
头昏想睡觉,无
昏睡病,无
猝倒,无
肉芽肿,无
局部游走性红斑,无
搏动性头痛,无
热结节,无
湿热,无
两眼下视不能,无
脉洪而芤,无
男性化,无
盆腔包块,无
口咸,无
腰背刺痛,无
肾阴虚,无
面部闪电疼痛,无
脸部疼痛,无
面痛,无
三叉神经分布区麻木感,无
胁肋灼痛,无
急性腹痛,无
下腹坠痛,无
停经,无
视力常呈雾状模糊感,无
眼底改变,无
昼盲,无
口干,无
口苦,无
鱼鳞癣样红皮,无
异常鱼鳞癣,无
皮肤软组织感染,无
油腻性鳞屑,无
全身弥漫性潮红,无
胎儿宫内窒息,无
胎动过频,无
胎动改变,无
紫绀和血缺氧,无
胎心率改变,无
臀部放射痛,无
烦渴多饮,无
易倦感,无
血压低,无
心前区重压感,无
气短,无
纳差,无
角膜溃疡,无
畏光,无
红眼,无
肝脏肿大,无
智能减退,无
Q-T间期延长,无
心室扑动,无
毛发呈脱发祥,无
胎粪污染,无
高碳酸血症,无
红细胞增多,无
不全流产,无
女性小腹疼痛,无
阴道流血过多,无
舌苔白润,无
兔唇,无
多指（趾）畸形,无
并指（趾）畸形,无
头大畸形,无
肢体短缩畸形,无
热痰口臭,无
虚火,无
咽喉不利,无
痰火上壅清窍,无
气急,无
喉中痰鸣,无
小儿哭闹不安,无
粪样呕吐物,无
一时性便秘,无
拒食,无
糙皮病样皮疹,无
头皮痒,无
食欲缺乏,无
血红蛋白尿,无
足跟痛,无
顽固性疼痛,无
口鼻血性分泌物,无
树胶肿,无
双耳廓发育不全,无
淋巴发育不全,无
永久性秃发,无
心悸,无
胸闷憋气,无
头重足轻,无
组织液渗出,无
组织坏死,无
排痰无力,无
夜间头痛,无
儿童头痛,无
牵涉性头痛,无
皮肤出血点,无
皮下血肿,无
外伤性出血,无
头皮撕裂伤,无
头皮撕脱伤,无
皮肤撕脱伤,无
头皮不规则裂口,无
头皮平直裂口,无
皮肤疖痈,无
听力缺陷,无
传导性耳聋,无
耳痛,无
耳前庭听觉失衡,无
听力障碍,无
烧心,无
早饱,无
失眠,无
色素异常,无
胎膜早破,无
皮肤胎痣,无
胚胎发育障碍,无
听力下降,无
复聪现象,无
耳堵,无
眼睑震颤,无
空腹低血糖,无
足癣,无
胎位不正,无
螺旋形骨折,无
纵行骨折,无
视觉识别障碍性眩晕,无
短暂性眩晕,无
外眼源性眩晕,无
耳源性眩晕,无
体位性眩晕,无
肿瘤性脱发,无
梳头或洗头时头发脱落增加,无
发作性眩晕,无
震颤,无
视乳头水肿,无
脑桥小脑角综合征,无
立卧心率差数,无
心尖搏动弥散,无
传导阻滞,无
颅内出血,无
易昏厥,无
一过性昏厥,无
气急喘盛,无
尿酸盐在关节内沉积增多,无
血偏酸,无
截瘫,无
面肌强直,无
面纹消失,无
肌张力降低,无
听力减退,无
孤独症,无
空虚症,无
放屁频频,无
食欲下降,无
吞气,无
肝衰竭,无
易激惹,无
行为及情绪异常,无
感觉迟钝,无
间歇性跛行,无
足底溃疡,无
全身过敏和发热皮疹关节痛,无
热痛,无
血热,无
臀产式,无
胎儿不完全臀先露,无
胎儿单臂先露,无
临产后阵痛剧烈,无
投掷动作(颤搐),无
局部压痛,无
腕部肿胀压痛,无
颅内感染,无
阴囊肿大,无
阴茎和阴囊水肿,无
阴囊肿胀,无
阴囊瘙痒,无
阴囊下坠,无
搭肩试验阳性,无
关节扭伤,无
关节酸痛,无
足背及胫后动脉搏动减弱,无
剧痒,无
色素脱失,无
胆绞痛,无
钙化,无
胃肠气胀,无
舌炎,无
脾肿大,无
易激动,无
跖纹,无
胎儿生长发育迟缓,无
胎盘老化,无
窒息,无
鼻唇沟发红皲裂,无
细菌感染,无
血管舒张性虚脱,无
虚脱,无
月经量多,无
肢端缺血,无
顽固性失眠,无
继发性失眠,无
情绪性失眠,无
紧张性失眠,无
入睡障碍性失眠,无
反复感染,无
呼吸浅慢,无
双手轮替动作笨拙,无
腹膜刺激征,无
第1跖趾关节疼痛和肿大,无
关节畸形,无
耳道堵塞,无
耳屎多,无
毛囊性呈鳞片状角化,无
上半身热刺激性多汗,无
痛风结节,无
心肌肥厚,无
器质性心脏病,无
肥胖,无
皮肤水疱，后形成黑色干痂,无
背痛,无
脊柱弯曲,无
脊髓病变,无
腰部僵硬及腰前凸消失,无
婴儿脊柱侧凸,无
鲜红斑痣,无
脸上黑斑,无
浅褐色色素斑,无
网状色素沉着斑,无
膝内翻,无
剧烈运动后头晕,无
眼花,无
脱水热,无
失钠多于失水且血清钠浓度低,无
焦虑,无
脾气变坏,无
胃痉挛,无
马凡氏综合征,无
尿中有特殊鼠臭味,无
胸廓畸形,无
脊柱侧弯,无
全秃,无
全头痛,无
多汗恶风,无
粪便中发现白色节片,无
指甲出现条纹或斑点,无
低血糖性昏迷,无
高渗性昏迷,无
周围神经损害,无
脉浮紧,无
躁狂,无
高热寒战,无
类似荨麻疹的皮肤潮红斑块,无
耳后淋巴结肿大,无
头皮触痛,无
眼睑浮肿,无
咳痰,无
室颤阈值降低,无
手抽筋,无
小腿溃疡,无
静脉曲张,无
妊娠时伴有腹痛的阴道流血,无
子宫有局限性轻压痛,无
妊娠时持续性腹痛或腰酸腰痛,无
宫缩乏力,无
子宫颈扩张,无
脐带血循环障碍,无
肝功能不全,无
心脏增大,无
脑膜刺激征,无
脑神经麻痹,无
角膜反射迟钝,无
胰岛细胞破坏,无
食欲减退,无
胎搐,无
胎黄,无
息肉,无
手的搓丸样动作,无
静止性震颤,无
视物变形,无
晶状体混浊,无
青春期身体发育缓慢,无
外阴幼稚,无
后发际低,无
颈短,无
肥胖并痛性结节或脂肪块,无
青春期肥胖,无
衰弱,无
胚胎停止发育,无
视网膜出血,无
玻璃体有血迹,无
皮肤萎缩和色素沉着,无
痱疹样皮疹,无
出汗减少,无
点状出血,无
食欲较差,无
上腹部包块,无
外阴皮肤肿胀,无
外阴烧灼刺激感,无
会阴溃疡,无
局部淋巴结肿大,无
情绪性头痛,无
胃粘膜呈萎缩性改变,无
肢体疼痛,无
寒热交作,无
肛门瘙痒,无
胃部隐痛,无
吞酸,无
溃疡龛影,无
外阴肿胀,无
排尿时外阴灼热、瘙痒或疼痛,无
进食呕吐,无
阴道血性分泌物,无
骨软化,无
耻区肿块,无
溃疡外观呈菜花样,无
胃寒疼痛,无
肢体发凉,无
溃疡分泌物恶臭,无
皮肤坏死,无
意识模糊,无
颅内高压,无
呕血,无
大便黑色,无
疖肿,无
腹股沟淋巴结肿大,无
皮肤出现硬块,无
冠状动脉痉挛,无
放射性疼痛,无
强迫停立位,无
神志模糊,无
月经稀少,无
外阴萎缩,无
阴道粘连甚至闭锁,无
阴唇融合,无
阴道闭锁,无
精冷不育,无
睾丸微小,无
肩关节痛,无
皮下气肿,无
皮下组织水肿,无
脂肪代谢障碍,无
脓血性白带,无
蜂窝组织炎,无
囊性肿块,无
外阴下坠感,无
性交疼痛,无
外阴压痛,无
面色潮红,无
肝功能衰竭,无
高促胃泌素血症,无
胃肠道症状,无
白甲,无
白细胞减少,无
毛孔角化过度,无
呼吸急促,无
耳围凹陷,无
耳廓癣,无
耳痒,无
耳硬化症,无
神经痛,无
“三偏”症,无
旋转性眩晕,无
剧烈眩晕，站立不稳,无
出冷汗,无
外耳道癣,无
耳内流脓,无
真菌感染,无
耳流脓,无
胃粘膜脱垂,无
单次发作抑郁症,无
迫害妄想,无
机械地重复周围人的言语或行为,无
偏执性妄想,无
自恋,无
无活动性结核病灶,无
肠穿孔,无
移动性浊音,无
散脉,无
情绪低落,无
肌性肌无力,无
肩带肌、上肢和胸背部诸肌的肌无力和肌萎缩,无
脂肪泻,无
骨痛,无
单纯骨折,无
月经周期改变,无
不排卵,无
阴道不规则出血,无
捻发音,无
外耳道疼痛,无
间歇性耳痛,无
血性耳分泌物,无
咖啡斑,无
色素沉着,无
产后便血,无
产后恶露不净有臭味,无
反复出血,无
产后发热,无
血栓脱落,无
中心暗点或弓形暗点,无
外阴白斑,无
耳漏,无
视力视野改变,无
维生素D中毒,无
晶状体脱位或半脱位,无
虹膜缺损,无
单眼失明,无
进食样自动症,无
癫痫性人格改变,无
肌阵挛,无
静脉栓塞,无
红斑结节,无
包皮粘连,无
耳道异物,无
耳垂过大,无
粪便量多,无
恶食酸物,无
胃肠功能不良,无
小胃综合征,无
小指半月甲呈粉红色,无
细菌性心内膜炎,无
红肿奇痒,无
脂溶性维生素缺乏,无
齿龈出血,无
消化道穿孔,无
良性溃疡改变,无
咳出带臭味的干痂,无
咳声嘶哑,无
喉部淋巴滤泡增生,无
腭舌咽呼吸肌呈对称性弛缓性轻瘫,无
围产期心肌病变,无
房性早搏,无
右心衰竭,无
大块肝细胞坏死,无
耳顶线以下至发际处痛觉过敏或减退,无
大阴唇或肛门大小不等、质软无压痛包块,无
脑实质的浸润,无
脑炎样改变,无
非血性腹水,无
腹部逐渐胀大,无
维生素E缺乏,无
空腹时腹部有振水声者,无
脘痞腹胀,无
齿迟,无
行迟,无
语言发育迟缓,无
婴儿步行晚,无
瘤体坚硬,无
瘤细胞浸润,无
左腹屈曲,无
突发性疼痛,无
血流不畅,无
心率增快,无
肾小管萎陷,无
胃疼,无
强硬舌,无
尿黄似浓茶,无
舌质红绛,无
人工荨麻疹,无
日光照射引起皮肤过敏,无
腹部皮肤出现白纹、粉红色或紫纹,无
妊娠纹,无
皮肤花纹,无
手足麻木,无
尿后滴沥,无
慢性溃疡,无
臀沟内似夹着异物样的难受及不愉快感,无
尾部疼痛而拒坐,无
尾骶部疼痛,无
尾骨压痛及异常活动,无
胃排空延缓,无
胃窦动力低下,无
胃容纳性减弱,无
周身出汗,无
血性渗液,无
鼻黏膜和鼻甲萎缩,无
鼻粘膜溃疡和萎缩,无
鼻臭症,无
鼻孔干疼,无
黏膜稍苍白,无
苔藓样变,无
心前区隐痛,无
胃纳差,无
胃纳减退,无
骨硬化,无
石骨症,无
骨外团块,无
脓血便,无
